product,status,variant,variant_id,price,bucket,cost_source,landed_est,sale,normal_price,normal_gp_rate,normal_mp5,normal_mp8,best_disc_price,best_disc_gp_rate,best_disc_mp5,best_disc_mp8,worst_price,worst_gp_rate,worst_mp5,worst_mp8,cpa_at_disc,be_roas_at_disc,mult_now
パイピング クッション,ACTIVE,ブラウン パイピング / 45×45cm（中材付き）,50296089837808,6480,小物,推定(ckb+ship_est),2019,MB15,6480,0.688,3903,3709,5508,0.633,3015,2850,5008,0.597,2558,2408,2110,1.83,3.21
パイピング クッション,ACTIVE,ブラウン フレンチフラワー / 45×45cm（中材付き）,50296089903344,6480,小物,推定(ckb+ship_est),2019,MB15,6480,0.688,3903,3709,5508,0.633,3015,2850,5008,0.597,2558,2408,2110,1.83,3.21
パイピング クッション,ACTIVE,ミルキーホワイト ダイヤキルト / 45×45cm（中材付き）,50296090362096,6480,小物,推定(ckb+ship_est),2019,MB15,6480,0.688,3903,3709,5508,0.633,3015,2850,5008,0.597,2558,2408,2110,1.83,3.21
パイピング クッション,ACTIVE,オフホワイト フレンチフラワー / 45×45cm（中材付き）,50296090558704,6480,小物,推定(ckb+ship_est),2019,MB15,6480,0.688,3903,3709,5508,0.633,3015,2850,5008,0.597,2558,2408,2110,1.83,3.21
パイピング クッション,ACTIVE,ブラウン ヘリンボーンチェック / 45×45cm（中材付き）,50296090820848,5980,小物,推定(ckb+ship_est),1894,MB15,5980,0.683,3571,3392,5083,0.627,2751,2599,4583,0.587,2294,2157,1926,1.85,3.16
パイピング クッション,ACTIVE,ミルクイエロー ブリック / 45×45cm（中材付き）,50296090886384,6980,小物,推定(ckb+ship_est),2169,MB15,6980,0.689,4210,4001,5933,0.634,3253,3075,5433,0.601,2796,2633,2277,1.82,3.22
パイピング クッション,ACTIVE,ライトカーキ カットフラワー / 45×45cm（中材付き）,50296090951920,5980,小物,推定(ckb+ship_est),1894,MB15,5980,0.683,3571,3392,5083,0.627,2751,2599,4583,0.587,2294,2157,1926,1.85,3.16
パイピング クッション,ACTIVE,カーキ ワイドストライプ / 45×45cm（中材付き）,50296091082992,6480,小物,推定(ckb+ship_est),2019,MB15,6480,0.688,3903,3709,5508,0.633,3015,2850,5008,0.597,2558,2408,2110,1.83,3.21
フラワー フロアクッション,ACTIVE,ピンク / 直径50cm,50296389009648,6480,小物,推定(ckb+ship_est),1694,MB15,6480,0.739,4228,4034,5508,0.692,3340,3175,5008,0.662,2883,2733,2338,1.65,3.83
フラワー フロアクッション,ACTIVE,ピンク / 直径40cm,50296389042416,5980,小物,推定(ckb+ship_est),1394,MB15,5980,0.767,4071,3892,5083,0.726,3251,3099,4583,0.696,2794,2657,2276,1.56,4.29
フラワー フロアクッション,ACTIVE,イエロー / 直径50cm,50296389075184,6480,小物,推定(ckb+ship_est),1694,MB15,6480,0.739,4228,4034,5508,0.692,3340,3175,5008,0.662,2883,2733,2338,1.65,3.83
フラワー フロアクッション,ACTIVE,イエロー / 直径40cm,50296389107952,5980,小物,推定(ckb+ship_est),1394,MB15,5980,0.767,4071,3892,5083,0.726,3251,3099,4583,0.696,2794,2657,2276,1.56,4.29
フラワー フロアクッション,ACTIVE,グレー / 直径50cm,50296389140720,6480,小物,推定(ckb+ship_est),1694,MB15,6480,0.739,4228,4034,5508,0.692,3340,3175,5008,0.662,2883,2733,2338,1.65,3.83
フラワー フロアクッション,ACTIVE,グレー / 直径40cm,50296389173488,5980,小物,推定(ckb+ship_est),1394,MB15,5980,0.767,4071,3892,5083,0.726,3251,3099,4583,0.696,2794,2657,2276,1.56,4.29
フラワー フロアクッション,ACTIVE,グリーン / 直径50cm,50296389206256,6480,小物,推定(ckb+ship_est),1694,MB15,6480,0.739,4228,4034,5508,0.692,3340,3175,5008,0.662,2883,2733,2338,1.65,3.83
フラワー フロアクッション,ACTIVE,グリーン / 直径40cm,50296389239024,5980,小物,推定(ckb+ship_est),1394,MB15,5980,0.767,4071,3892,5083,0.726,3251,3099,4583,0.696,2794,2657,2276,1.56,4.29
バルーンドッグ オブジェ,ACTIVE,ブルー / 幅21×奥行7.5×高さ18cm,50296097243376,3980,小物,推定(ckb+ship_est),1274,MB15,3980,0.68,2363,2244,3383,0.623,1818,1716,2883,0.558,1361,1274,1272,1.86,3.12
バルーンドッグ オブジェ,ACTIVE,グリーン / 幅21×奥行7.5×高さ18cm,50296097276144,3980,小物,推定(ckb+ship_est),1274,MB15,3980,0.68,2363,2244,3383,0.623,1818,1716,2883,0.558,1361,1274,1272,1.86,3.12
バルーンドッグ オブジェ,ACTIVE,ピンク / 幅21×奥行7.5×高さ18cm,50296097308912,3980,小物,推定(ckb+ship_est),1274,MB15,3980,0.68,2363,2244,3383,0.623,1818,1716,2883,0.558,1361,1274,1272,1.86,3.12
バルーンドッグ オブジェ,ACTIVE,マルチカラー / 幅21×奥行7.5×高さ18cm,50296097341680,3980,小物,推定(ckb+ship_est),1274,MB15,3980,0.68,2363,2244,3383,0.623,1818,1716,2883,0.558,1361,1274,1272,1.86,3.12
バルーンドッグ オブジェ,ACTIVE,ゴールド / 幅21×奥行7.5×高さ18cm,50296097374448,3980,小物,推定(ckb+ship_est),1274,MB15,3980,0.68,2363,2244,3383,0.623,1818,1716,2883,0.558,1361,1274,1272,1.86,3.12
バルーンドッグ オブジェ,ACTIVE,シルバー / 幅21×奥行7.5×高さ18cm,50296097407216,3980,小物,推定(ckb+ship_est),1274,MB15,3980,0.68,2363,2244,3383,0.623,1818,1716,2883,0.558,1361,1274,1272,1.86,3.12
バルーンドッグ オブジェ,ACTIVE,パールホワイト / 幅21×奥行7.5×高さ18cm,50296097439984,3980,小物,推定(ckb+ship_est),1274,MB15,3980,0.68,2363,2244,3383,0.623,1818,1716,2883,0.558,1361,1274,1272,1.86,3.12
バルーンドッグ オブジェ,ACTIVE,ブルーグレー / 幅21×奥行7.5×高さ18cm,50296097472752,3980,小物,推定(ckb+ship_est),1274,MB15,3980,0.68,2363,2244,3383,0.623,1818,1716,2883,0.558,1361,1274,1272,1.86,3.12
バルーンドッグ オブジェ,ACTIVE,オレンジレッド / 幅21×奥行7.5×高さ18cm,50296097505520,3980,小物,推定(ckb+ship_est),1274,MB15,3980,0.68,2363,2244,3383,0.623,1818,1716,2883,0.558,1361,1274,1272,1.86,3.12
ビス ダイニングチェア,ACTIVE,ブラック × ベージュパッチワーク,50296096096496,23480,中型,推定(ckb+ship_est),7697,SALE10,23480,0.672,13763,13059,21132,0.636,11617,10983,20632,0.627,11160,10541,8132,1.82,3.05
ビス ダイニングチェア,ACTIVE,ブラック × ブラックパッチワーク,50296096129264,23480,中型,推定(ckb+ship_est),7697,SALE10,23480,0.672,13763,13059,21132,0.636,11617,10983,20632,0.627,11160,10541,8132,1.82,3.05
ビス ダイニングチェア,ACTIVE,ブラック × ベージュファブリック,50296096162032,25480,中型,推定(ckb+ship_est),8447,SALE10,25480,0.668,14841,14077,22932,0.632,12512,11824,22432,0.623,12055,11382,8758,1.83,3.02
ビス ダイニングチェア,ACTIVE,ブラック × オフホワイトファブリック,50296096194800,25480,中型,推定(ckb+ship_est),8447,SALE10,25480,0.668,14841,14077,22932,0.632,12512,11824,22432,0.623,12055,11382,8758,1.83,3.02
ビス ダイニングチェア,ACTIVE,ダークウォールナット × ライスイエローファブリック,50296096227568,25480,中型,推定(ckb+ship_est),8447,SALE10,25480,0.668,14841,14077,22932,0.632,12512,11824,22432,0.623,12055,11382,8758,1.83,3.02
ビス ダイニングチェア,ACTIVE,ダークウォールナット × オフホワイトファブリック,50296096260336,25480,中型,推定(ckb+ship_est),8447,SALE10,25480,0.668,14841,14077,22932,0.632,12512,11824,22432,0.623,12055,11382,8758,1.83,3.02
ビス ダイニングチェア,ACTIVE,ダークウォールナット × ベージュパッチワーク,50296096293104,23480,中型,推定(ckb+ship_est),7697,SALE10,23480,0.672,13763,13059,21132,0.636,11617,10983,20632,0.627,11160,10541,8132,1.82,3.05
ビス ダイニングチェア,ACTIVE,ダークウォールナット × ブラックパッチワーク,50296096325872,23480,中型,推定(ckb+ship_est),7697,SALE10,23480,0.672,13763,13059,21132,0.636,11617,10983,20632,0.627,11160,10541,8132,1.82,3.05
ビス ダイニングチェア,ACTIVE,ダークウォールナット × オレンジファブリック,50296096358640,23480,中型,推定(ckb+ship_est),7697,SALE10,23480,0.672,13763,13059,21132,0.636,11617,10983,20632,0.627,11160,10541,8132,1.82,3.05
